Quote,Author,Tag(s)
"Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.","Albert Einstein","Humor"
"Words have no power to impress the mind without the exquisite horror of their reality.","Edgar Allan Poe","Philosophy"
"We know what we are, but know not what we may be.","William Shakespeare","Philosophy"
"You don't have to be like everybody else. In fact I don't think you should.","Taylor Swift","Inspirational"
"The only limit to our realization of tomorrow will be our doubts of today. Let us move forward with strong and active faith","Franklin D. Roosevelt","Inspirational"
"Those who dare to fail miserably can achieve greatly.","John F. Kennedy","Inspirational"
"If I have seen further it is by standing on the shoulders of giants.","Isaac Newton","inspirational, science"
"Just because you read it in a magazine or see it on a TV screen doesn’t make it factual. To buy it is to feed it.","Michael Jackson","truth, media"
"I am indebted to my father for living, but to my teacher for living well.","Alexander the Great","gratitude, education" 
"Faith is a living, daring confidence in God’s grace, so sure and certain that a man could stake his life on it a thousand times.","Martin Luther","faith, reformation" 
"Excellence is never an accident. It is always the result of high intention, sincere effort, and intelligent execution.","Aristotle","excellence, virtue"
"When a man said, ‘It can’t be done; a man might as well try to fly,’ he was understood as expressing the final limit of impossibility.","Wilbur Wright","persistence, innovation"
"Love your enemies, for they tell you your faults.","Benjamin Franklin","wisdom, peace"
"Nature is the source of all true knowledge. She has her own logic, her own laws, she has no effect without cause nor invention without necessity.","Leonardo da Vinci","nature, knowledge"
"Simplicity is the ultimate sophistication.","Leonardo da Vinci","simplicity, art"
"Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.","Thomas Edison","perseverance, success"
"The scientific man does not aim at an immediate result. … His work is like that of the planter — for the future.","Nikola Tesla","science, vision"
"The image is one thing and the human being is another. It’s very hard to live up to an image, put it that way.","Elvis Presley","image, identity"
"You have enemies? Good. That means you've stood up for something, sometime in your life.","Winston Churchill","values, guts"
"Our Constitution was made only for a moral and religious people. It is wholly inadequate to the government of any other.","John Adams","constitution, morality"
"Honesty is the first chapter in the book of wisdom.","Thomas Jefferson","honesty, wisdom"
"Guard against the impostures of pretended patriotism.","George Washington","patriotism, leadership"
"If men were angels, no government would be necessary.","James Madison","government, philosophy" 
"A little flattery will support a man through great fatigue.","James Monroe","wisdom, character" 